RMSD,score
16.8030281067,112.656148156
14.3621244431,78.7400942658
14.5110054016,103.160430503
13.7969675064,132.043218449
12.0432682037,69.6982980651
11.9808149338,47.9811278096
11.1825456619,50.0813203396
12.2475347519,60.8399144877
10.7633781433,76.7770865528
11.4484024048,73.0651768226
12.7960834503,87.8757800326
14.5448045731,86.8472895564
12.4045038223,75.1115838008
10.9086589813,76.1753589
12.5160121918,68.536954095
12.9888267517,66.3037673036
14.0968723297,97.5163400041
12.8610506058,73.8381581146
10.9858856201,75.9631882249
10.5668020248,57.242655316
14.2065954208,66.0150209306
12.3953380585,97.7687915012
13.7926998138,84.5785762237
15.8225603104,79.2288374265
14.7788534164,71.4753125877
12.2553291321,76.8254976757
12.5111789703,77.9588760184
11.4766769409,53.3823899293
13.8711614609,48.4124818355
10.8337993622,59.1412401571
15.8368549347,105.78924397
17.9120559692,96.2069658517
11.4212217331,76.1130324993
13.0063581467,69.2704871333
11.6084737778,73.8051141046
13.6935758591,69.9991795358
13.4048213959,60.7355489841
11.89290905,74.795286642
12.2867546082,68.1370455277
12.0757761002,70.3238515402
10.9489440918,62.0074230309
11.3173980713,71.0017522447
13.7118091583,96.6382043373
11.6881361008,62.6144944953
13.8433818817,78.0832565657
11.2304029465,66.2877254472
12.0885658264,73.7709688925
12.8893499374,64.7702955854
10.5076189041,65.8826835737
12.0384235382,60.8396603283
11.8939208984,62.3813282294
11.1261739731,70.4322193599
10.3529396057,54.5944702402
12.2906856537,94.3385096383
14.7230205536,89.9231518026
12.77115345,89.4351888143
12.3713655472,76.5855946304
9.19518280029,70.9259817392
10.5820531845,84.4347784654
14.3062763214,83.6917119203
19.7066459656,102.591426147
14.4338130951,79.0065397105
14.0798311234,72.9869213988
10.2434568405,67.7687401763
11.1936597824,71.2616315775
13.5861663818,74.1964582922
12.3171844482,83.61639283
11.4174900055,60.1153262966
13.7604227066,77.0637168678
13.1591663361,89.2880439842
11.2130231857,65.5676149498
13.8885345459,66.1638793549
11.8609781265,61.2556659519
14.0101032257,71.0310503244
10.9360542297,78.7992185274
13.448843956,78.1822223448
12.6684598923,63.0956873074
12.9373950958,55.3200808356
11.2903594971,115.755147952
16.41472435,91.1345449134
12.563621521,74.798780191
14.7845048904,69.9101680248
15.6874675751,82.0422118117
15.2379312515,83.1236366032
11.3236684799,85.93138647
9.74304866791,91.425293682
10.5172452927,85.3814215943
8.92046165466,77.2775499357
9.15953445435,69.2054664234
13.6544675827,69.2753211437
12.988193512,67.2998163899
11.541229248,75.8101265885
17.10962677,94.184533708
13.2967205048,94.9498715213
13.1414165497,76.8759883359
13.426733017,73.1823721438
12.690527916,85.1790688751
15.7941246033,85.0482564625
14.0475444794,71.5765744559
11.0781555176,76.6092209309
13.9158153534,86.6044472234
11.6340522766,69.992790645
15.0296049118,74.3069880256
10.3455915451,61.593483063
11.5373334885,54.2993812255
14.8085012436,55.4562190212
10.3338308334,76.3986940689
17.1361618042,104.2578678
11.7025403976,81.345444769
14.5668964386,93.0990374412
10.924574852,73.7827805338
11.9757728577,100.820455591
13.3050508499,97.2853772031
14.2473115921,84.5521752174
12.6161642075,84.8624130841
14.0401697159,72.6281798958
15.5259094238,110.084051473
14.086889267,73.3374298602
13.2247972488,77.031791749
12.9452047348,68.8749936145
12.0413866043,63.9204611441
11.4651794434,39.7257403553
10.492231369,54.3495994109
10.5752439499,64.106555123
11.0132827759,74.1510808044
14.1756572723,84.371690257
13.6671152115,76.8559558056
12.6200780869,58.890222784
11.7097797394,33.8609039321
12.2809391022,40.8617140197
11.2336645126,49.4540999174
12.3556203842,82.1931747359
12.4967021942,81.9226880731
13.285610199,76.166617117
14.5346107483,80.373494314
13.3276872635,90.199845782
15.3383712769,72.2185671231
11.2019872665,78.2292066371
13.2876691818,85.5430108881
9.10055351257,74.4093171127
15.4913702011,80.5471837448
13.2006025314,70.3527124778
14.3545694351,66.6266864199
10.2239875793,73.2178325838
14.2025194168,81.9982604801
15.0471925735,67.8055253776
14.0404653549,86.0724416411
11.6250762939,72.0591709721
13.396689415,62.352070196
15.8796710968,87.6923012237
11.659412384,101.793758764
13.2901382446,84.4210540215
12.2050714493,95.8958460196
11.3120594025,63.9002712061
14.6357059479,87.7327026815
11.3352155685,69.216072316
12.050784111,90.7651162422
11.6076669693,60.7036135436
15.138548851,76.9617278231
10.5212745667,67.0379590697
13.2320327759,66.6971008641
12.6225643158,64.2183244275
16.5139255524,82.5782418743
12.3585739136,79.0999279115
10.6349430084,68.1003145904
14.7157669067,94.1794419474
13.1087198257,71.6542024893
13.7619810104,77.1156569908
12.6026296616,67.4555919343
11.7473955154,28.5745568331
