RMSD,score
14.7142343521,83.9412519888
12.6146564484,70.8881236064
11.4988470078,67.4939134601
13.1924962997,69.1760372868
12.9938602448,75.406725208
11.9463920593,69.8960169316
14.5027103424,59.1072946065
15.4304199219,72.1720287425
15.0427875519,66.8102538322
13.1048221588,53.2095535461
14.3453855515,80.3429156871
12.3760480881,56.5671893222
12.1591615677,62.9051044587
13.374174118,74.1471594672
13.1358966827,65.2422219721
10.5475816727,71.5946589256
11.5500535965,57.5932532342
8.24509716034,73.4401640577
11.8248310089,74.1629737833
13.0113592148,55.7234990515
13.8758087158,66.4988358173
13.5204944611,66.8198602233
14.4343261719,76.3392553891
11.4561538696,72.7068063113
14.679432869,64.1592714813
12.2107448578,56.5787040471
12.1756763458,60.7875161943
11.3933019638,66.5116257477
11.9093894958,82.0291397752
12.4154872894,75.6395719685
11.7866792679,83.3382935896
11.2598314285,63.146189716
11.5266723633,68.0283534232
14.209438324,86.5603304775
12.8105020523,71.8084885886
13.8774471283,69.285411238
12.8790893555,62.8554189665
13.9704380035,65.1072139054
14.8945884705,67.5809157359
12.8757839203,69.5566331405
10.9573698044,70.1845926649
12.1147089005,72.9059240082
14.8801240921,74.5818131505
11.0227994919,68.9424331048
10.6180524826,53.1790113833
12.5577831268,48.7630731398
14.1168279648,67.4676898458
14.1400194168,65.8676215406
15.3934698105,64.9417841323
12.1888742447,66.6294289408
11.8282737732,66.0645755449
11.6707897186,66.381877424
13.603392601,68.8600849021
12.6167078018,73.6824423841
12.594119072,51.6557858142
11.8080997467,69.6874627585
12.340637207,67.046909642
13.3246555328,91.3397189052
14.4369163513,77.7991775032
13.327173233,67.3024557823
13.2333927155,75.9727393732
14.3458137512,72.5387059604
13.7132720947,65.0956081942
13.5434083939,58.3362012806
14.687830925,60.4544254503
15.050784111,71.6701583909
13.1381092072,59.9057201032
14.1410188675,56.1528877591
13.8854379654,61.4389564952
13.2346010208,59.216377928
13.4571418762,60.5751192196
13.0378913879,75.0256560241
13.324590683,61.5989797008
12.4386720657,65.5786555534
12.9596405029,62.6314094975
13.2041473389,65.9408057723
11.5655612946,62.8872463528
9.24703884125,72.8403530297
13.1032266617,46.0462451916
13.2406244278,49.0761860675
14.1118450165,71.1435973173
12.0257234573,51.1168723545
11.2314128876,58.4296153426
11.2791404724,65.2009190494
12.6110048294,56.2345812648
12.806137085,61.9657909472
12.8635759354,46.329294544
10.7139959335,55.9589961127
12.1853399277,62.504426605
11.6479701996,69.3228941233
7.97327280045,84.0777550572
13.3749141693,67.5100930558
10.2799854279,59.9416036205
13.8292274475,58.6252475241
11.8866844177,63.7133303836
11.9257488251,57.5881751122
11.0840911865,58.8280344693
12.2574071884,50.7622597986
13.9835882187,59.3331727807
9.47484493256,63.1190483838
13.6192331314,60.4606050698
13.4691152573,56.4462476003
13.0304880142,57.6284454115
14.3512744904,62.483874006
12.5883579254,72.0368529034
13.6902618408,59.5945517775
13.860915184,62.8571585807
13.7773771286,66.3434668939
13.4473619461,72.0998998814
12.1210603714,89.2771776158
12.3349895477,63.4952564673
14.5853118896,62.028750973
13.4431266785,77.2108537819
10.5345926285,89.1450544979
11.4346389771,62.4351941185
11.7572746277,55.5011500839
11.0028171539,54.2792441066
11.6295623779,48.2854308558
11.2006978989,47.3056141558
11.3518714905,65.4832389064
11.4280328751,49.8420142324
11.3158092499,49.2375330677
15.1472940445,65.871056646
11.6699790955,60.0877418552
11.1870584488,42.2632806756
13.4640951157,70.3047616239
10.3228654861,72.4335494036
11.3737630844,72.4633936625
13.0306768417,58.0481479353
13.51765728,67.3403120702
13.5577030182,46.145469513
14.3493022919,57.8685218666
9.31159496307,71.3898321402
13.6800098419,51.3292185112
11.3212089539,60.7945698216
12.6216564178,74.8911228286
13.1067085266,70.3914420692
14.7470054626,54.5095786256
12.3346443176,68.1938313114
12.8300552368,55.9775655891
14.3840637207,49.5193794554
13.5890417099,62.7450132056
11.791466713,69.7418278501
13.0372838974,59.7823793131
12.2236289978,58.9097093011
12.2825555801,45.792974583
13.7872257233,60.326583256
13.5075674057,55.2529551051
14.6880483627,46.5273174725
14.7897367477,72.5694741387
13.7858171463,53.6103176679
12.7987585068,60.092632379
14.6489686966,70.7680391173
14.8282022476,62.8049346888
13.1725215912,61.3129534927
10.3647279739,74.7121832237
13.9462623596,68.9517321393
11.4023265839,59.1178118994
14.2060489655,65.8349645842
15.6982440948,78.1833463145
15.1344938278,68.6137142642
12.2198419571,60.5801052164
12.489449501,60.8206651682
13.3594303131,60.4683231899
11.71667099,71.5736549141
13.3046541214,62.0619062798
14.0178070068,50.120848209
13.8714666367,78.372168071
14.1544361115,55.2807150879
12.7724027634,33.1497252741
