RMSD,score
15.8935804367,130.550304181
11.4693183899,100.166793155
13.1433591843,85.9883196667
13.8199634552,114.201266867
13.4149713516,95.3483616353
13.0662755966,96.8428580262
13.5507936478,117.080024157
14.0488681793,107.804596288
13.1367797852,102.27337908
14.7970333099,97.7584627689
16.8401222229,115.428419394
15.3901081085,104.164504987
11.1552095413,76.2336120911
12.6900110245,83.9331090195
13.5378170013,82.4375322071
17.8528671265,127.53795674
16.6379432678,102.957379647
15.702375412,135.044565595
11.924238205,88.4085495272
13.5505495071,116.192683667
12.5252799988,99.5361661978
12.9222736359,78.2812068284
12.4408769608,96.7230452275
12.2478761673,105.426021614
15.471282959,101.279429303
14.2719669342,104.330858903
13.1585760117,102.547125453
13.1788597107,106.866168218
14.0526380539,93.6913786735
14.7731523514,134.360953904
10.6703481674,97.850463477
14.5047073364,126.691838826
8.92629909515,70.8963203255
11.9168653488,109.20210756
12.3173627853,123.160667954
10.4239425659,111.474287504
9.80110836029,87.8587970277
13.1965684891,111.385961995
12.7994880676,94.3849604849
14.037981987,103.092354989
13.4076280594,90.3186729606
11.6916399002,86.9680055811
10.4963493347,87.1385843264
14.9534015656,108.273365829
13.4108247757,111.294403026
17.8487548828,115.105016889
12.3405437469,97.6310849371
15.7606239319,123.172579565
11.0315685272,109.272935857
13.2424840927,102.531403833
19.1997051239,118.808959244
12.5738725662,97.0939914951
12.7051401138,95.7796222877
14.9314460754,126.126022323
12.7705488205,93.7407393411
13.8951950073,103.598594581
11.3624773026,90.2773117259
13.7070178986,95.032000738
14.4310979843,109.074360553
12.283416748,93.1285423664
13.1431589127,109.848533528
15.7728061676,126.134090539
14.3104076385,100.476584208
14.2946300507,102.604375252
12.5583581924,79.509187806
12.8918886185,79.4716320219
11.6812410355,84.677768887
11.2119731903,70.1899021807
15.3345651627,105.881052457
12.7234115601,83.3946560771
11.3473882675,73.0794270316
15.7728939056,90.0311772018
11.2631673813,94.8946115753
11.6817560196,87.3956793014
11.3283786774,76.479560934
10.9032716751,79.5105204149
16.4350662231,97.430657353
11.9576864243,82.5420842672
10.093580246,64.0786473114
12.1434173584,73.4785505356
10.2490692139,68.3123437444
10.9978675842,72.0854328603
13.610165596,118.239485642
12.6278429031,111.488726827
11.2492218018,94.4405374641
13.5603084564,90.6697902259
14.21489048,101.244946073
12.0453672409,104.495126256
11.9503269196,99.4671967009
11.186999321,87.6273194574
15.3745069504,104.00340129
13.7028989792,105.147408314
13.746096611,95.3268130598
14.1486415863,91.7594084149
9.87443256378,91.3592653691
12.2843427658,88.9181334117
12.8808851242,102.08416343
14.2517108917,110.679024356
10.7027130127,87.1667756471
13.5676240921,116.050467912
12.2833347321,113.296504598
13.001791954,115.279678394
15.5493764877,122.177094996
16.3459625244,97.1085239973
12.5160140991,102.76601565
14.5448322296,119.019320588
12.1654062271,124.021181085
14.5328521729,139.643054495
12.5396156311,90.990054488
13.8457965851,107.795010391
11.9449949265,80.6082062199
12.1255903244,70.0507932746
11.5574703217,89.7723517215
11.5440864563,89.5373577626
12.3705835342,91.5857026538
13.8453731537,107.916766949
14.194562912,119.061052954
11.0393409729,102.998407955
11.9190320969,94.188167731
10.9415750504,99.4943756684
10.5161552429,69.0414277673
13.7878236771,92.5590237636
13.2176275253,82.3367076217
12.1938772202,101.070448247
13.8114175797,95.2984504266
13.4096879959,94.8838852843
10.5290689468,89.0045882465
13.3409757614,104.949011643
14.472111702,122.313911003
14.388428688,108.916306285
12.1131591797,95.46915386
12.964758873,78.6640885076
13.4633188248,96.8117983287
14.7441539764,122.921865719
10.6215286255,74.7279279503
13.2453193665,108.365295981
17.3069076538,110.446465867
14.1798858643,99.2697034607
14.6379384995,99.6992077243
12.9773387909,93.937148118
13.0860700607,103.215523909
13.6167964935,119.347674956
10.9667825699,79.1355459029
14.9950037003,97.9698498561
13.6770772934,89.6813995152
11.8879270554,84.8545712426
11.9461297989,103.246374186
13.2046136856,108.710998609
13.1058225632,112.289592602
15.6496458054,126.244629156
15.5092144012,142.019405152
16.3839511871,165.062803894
14.2066745758,122.112905535
14.4150056839,97.0876408621
12.3908596039,124.029845418
11.0733795166,101.347060364
11.4761457443,78.7804315201
12.9624195099,96.0857194672
13.3825674057,107.611278239
12.5287313461,95.6784544592
13.0486373901,113.783935948
13.8720722198,91.950643439
14.9703178406,112.52487267
16.6563243866,106.773187252
13.5393028259,101.550525056
13.6400566101,107.050526978
14.0797262192,103.335583792
12.2424106598,83.6034083183
12.8698549271,93.7221113767
9.5365486145,37.8224589773
