RMSD,score
33.3222427368,163.997671556
30.2016448975,145.436623353
30.1102142334,143.369411258
29.782541275,142.266149084
29.7991352081,143.344968253
29.7917041779,142.954320175
29.8051776886,142.687835182
29.7882823944,141.802263034
29.7642555237,142.235329995
29.6504039764,142.041564323
29.6678981781,140.888204103
29.6779518127,141.399773174
29.6219291687,140.801223994
29.5891819,140.841453376
29.5348052979,140.273320807
29.3914470673,137.244642138
29.3837604523,135.441537695
29.3984031677,135.027579185
29.3978462219,135.339976455
29.3816814423,134.778717135
29.344953537,134.570086024
29.3469848633,135.469269961
29.326997757,135.003225523
29.3484172821,134.169389499
29.2922725677,133.519215141
29.3076171875,134.465452127
29.2860794067,133.817907381
29.2939472198,133.610748114
29.3073539734,133.588258575
29.2425613403,134.612408557
29.2353553772,135.223859463
29.2304325104,134.318646313
29.2449607849,133.677610941
29.2568626404,134.546045359
29.2719936371,134.611254638
29.2825374603,133.919644154
29.2956542969,133.87988651
29.2935428619,133.629972425
29.2839851379,133.558604073
29.255771637,134.542213375
29.2437973022,133.636845072
29.2358150482,134.285404644
29.2515602112,134.131594693
29.2480430603,133.985130879
29.2283267975,135.979310898
29.2785282135,134.112102702
29.2414188385,132.624580914
29.2070274353,134.372540768
29.2275562286,132.843377025
29.2228012085,132.365680882
29.2291908264,133.272022801
29.2764205933,133.364876018
29.2806472778,133.651640923
29.2694263458,133.744653383
29.2709121704,133.971993475
29.2708415985,132.811797596
29.2641334534,134.029102061
29.2345600128,134.089766825
29.2209968567,133.432138823
29.2378330231,133.172587805
29.2373752594,132.445403292
29.2434253693,133.078713053
29.2318477631,132.721523976
29.2242431641,132.085590251
29.2201061249,133.617709207
29.2230873108,132.38799301
29.2221107483,132.459686575
29.2101669312,132.478123835
29.2040405273,132.346996676
29.1972332001,132.971766141
29.1913871765,133.36304499
29.1934757233,132.869027698
29.1699542999,133.083476341
29.1802749634,132.28421209
29.1625785828,133.165680448
29.1804981232,133.169923331
29.1605491638,133.006151119
29.158575058,132.653170484
29.1839866638,132.335925111
29.169418335,132.750972593
29.1729679108,132.055658783
29.1701984406,132.685846856
29.1825675964,132.724181939
29.1073360443,133.863972559
29.1178665161,132.60868183
29.1163768768,132.116089135
29.107585907,132.600296492
29.1185016632,133.066467982
29.0991725922,132.5187775
29.0985221863,131.832346731
29.0866298676,134.277921826
29.1350879669,132.32602295
29.1330661774,132.413342559
29.1314640045,131.872898409
29.1249809265,132.610790845
29.1298847198,131.85888199
29.1293239594,132.244315994
29.1311740875,132.375445905
29.1361255646,131.82575626
29.1466445923,133.171692816
29.1006660461,132.366294501
29.1095657349,132.233799486
29.1143379211,132.186462344
29.0966911316,131.835911548
29.0967655182,130.85018348
29.0985889435,130.735759879
29.1019763947,131.311526786
29.1165943146,131.689160634
29.1177577972,131.182666801
29.1078834534,130.793718473
29.1393127441,131.724059386
29.1135101318,131.642672512
29.1116542816,131.915672995
29.1356716156,131.939739081
29.1235771179,131.465812914
29.1325149536,130.509726575
29.1260433197,130.283205133
29.1408748627,130.150210204
29.1453742981,131.219261831
29.1692352295,130.657452402
29.1608352661,130.190490056
29.1551017761,129.411165807
29.1402359009,129.527826878
29.1282539368,129.848034927
29.1762428284,129.458520283
29.1575374603,129.612092754
29.1621665955,129.059892831
29.1683712006,131.28710729
29.1606311798,131.009572607
29.1712017059,130.377620836
29.1619434357,129.352008182
29.1655216217,129.780329105
29.1317119598,129.53547201
29.1368141174,129.542451806
29.1339015961,129.475818882
29.1488628387,131.910428714
29.1384944916,128.393976836
29.1408348083,128.671225073
29.1476650238,128.459827434
29.1602783203,129.876677164
29.1559829712,129.703369437
29.1544799805,128.276051319
29.1604824066,127.580135853
29.15051651,128.730305357
29.1546974182,128.33081443
29.1602973938,128.236292917
29.178445816,128.382352986
29.1697921753,128.193692043
29.1681575775,128.681846065
29.1572227478,128.252518641
29.1349544525,127.710394556
29.1299972534,127.643654093
29.1442298889,127.308129724
29.1487045288,127.53542389
29.1287097931,130.172918728
29.1616725922,128.209638082
29.14884758,127.839397266
29.1557197571,128.641434834
29.1625595093,128.556421935
29.1482582092,128.217273793
29.1540298462,128.162531006
29.1485805511,128.945788797
29.1342945099,128.502335796
29.1206665039,128.491585918
29.1570663452,128.78243626
29.137670517,127.727818457
29.145734787,128.316607715
29.1418933868,128.606999095
29.1442832947,127.908580072
29.1435222626,127.100135242
