RMSD,score
64.4802322388,266.541550436
63.3322944641,259.159373347
63.1304473877,259.132902294
63.2347145081,259.076774689
63.1679153442,259.002860728
63.2367858887,259.147088105
63.1549720764,258.677590072
62.8704833984,258.368232497
62.8631248474,253.837244283
62.9606056213,254.66021231
62.9237289429,254.604634998
62.9653701782,255.703718234
62.8525009155,252.754819906
62.8004188538,252.703599602
62.7863311768,253.546770434
62.6911964417,254.327143296
62.6988296509,254.692660467
62.7089920044,252.960386942
62.7101173401,253.411788285
62.6622619629,254.543403986
62.6688690186,253.78998669
62.7138442993,252.214907011
62.7138977051,252.907166
62.6898460388,253.315545153
62.7155342102,252.216199106
62.7038574219,253.041481294
62.6991271973,253.176864094
62.6386642456,252.635010609
62.6068916321,252.223288068
62.7045135498,253.291786127
62.6976242065,252.188739888
62.6649398804,252.438947997
62.7006988525,252.893077848
62.7113265991,253.079618037
62.5980453491,253.165286854
62.5747337341,253.91262599
62.5688018799,252.476030069
62.5281982422,252.793656102
62.5887107849,252.529965504
62.5799636841,250.70667311
62.5718688965,250.466356689
62.6144256592,254.350939399
62.5752334595,251.052691802
62.5397949219,252.764385956
62.6179351807,252.099782039
62.6007347107,252.29627526
62.6130714417,252.387721669
62.5708274841,251.644162977
62.5850868225,253.357287551
62.5200309753,251.31822684
62.5444221497,253.142917127
62.5463905334,253.219313194
62.558681488,252.401814287
62.5644187927,253.761394369
62.5583763123,252.237824919
62.550037384,253.494206755
62.5780410767,255.039064279
62.5794410706,253.916523083
62.6258087158,253.862619467
62.5558547974,253.055790205
62.5791091919,251.32627857
62.5662384033,252.219529471
62.48179245,251.572560449
62.4631004333,253.905684597
62.5238952637,251.370780219
62.495929718,251.312262393
62.5438461304,251.674245411
62.4973526001,250.960130753
62.4831581116,251.796060976
62.4959259033,250.47471572
62.5181541443,249.997302463
62.460193634,252.387307003
62.454536438,253.27939071
62.5380134583,254.024295905
62.4271278381,252.674498261
62.4528160095,251.839454732
62.3742332458,252.349517764
62.2900314331,252.995898662
62.2973060608,253.095019373
62.2946929932,252.311249452
62.3816108704,252.377312682
62.3607826233,252.231226579
62.3766708374,252.376677052
62.3498001099,252.714286204
62.4191093445,252.951153365
62.6133460999,255.11510386
62.6213798523,251.661983993
62.4477958679,254.391283831
62.5719108582,252.82537954
62.4107208252,254.454637424
62.5223197937,252.886061299
62.5985527039,253.796464296
62.6219062805,253.77943495
62.4527130127,252.493028099
62.5142974854,253.644656501
62.5522880554,253.391695667
62.6179847717,253.444078557
62.6561965942,253.78281202
62.6091041565,253.276812027
62.5955085754,252.542462686
62.5916786194,252.78843775
62.5868682861,252.464713761
62.5749740601,252.188516594
62.5921173096,252.670944555
62.6560630798,252.615905558
62.6335220337,253.212383927
62.5893859863,251.883871889
62.648563385,252.358535597
62.6603965759,252.7119526
62.6475105286,252.988031798
62.6248970032,252.954101712
62.6676025391,252.852802255
62.6483612061,252.649616917
62.6417503357,252.502324445
62.6389503479,252.441216937
62.66746521,253.253796811
62.6122436523,252.436513729
62.5681610107,252.352520438
62.5155792236,252.918627583
62.5341033936,252.362293574
62.5420875549,252.877463328
62.5372467041,252.405747841
62.5845336914,253.272378604
62.5110778809,251.99100132
62.5426979065,251.313995761
62.5743484497,251.900137163
62.6364784241,251.363328335
62.6157188416,250.802261889
62.6171112061,250.847940878
62.6594848633,249.63891302
62.6429519653,250.557281974
62.786113739,252.207498281
62.5780448914,250.156920808
62.6132316589,251.372805148
62.5603370667,251.362753034
62.5484542847,251.967900894
62.5384292603,252.060284118
62.5375747681,251.437466801
62.4559135437,251.591742027
62.4910926819,251.049476495
62.4957771301,251.263239098
62.5140151978,251.114797583
62.5730056763,253.244590774
62.5942115784,252.281936051
62.6815032959,252.953452873
62.675907135,251.980802544
62.655632019,251.957982232
62.4674110413,251.876583729
62.449420929,251.519862663
62.4483070374,251.88919882
62.3786621094,251.612194945
62.3173751831,250.206755056
62.34167099,250.854315812
62.3332748413,250.637437937
62.348991394,251.368463907
62.2975006104,252.096793332
62.2890701294,251.840250466
62.33385849,253.134020544
62.2810974121,251.714359017
62.2729568481,251.766508427
62.2792205811,251.385010765
62.3008270264,251.535859974
62.2665786743,252.067014092
62.3620834351,251.898489285
62.3399658203,251.031052219
62.4065170288,251.885203148
62.4127082825,251.73589881
62.4343643188,252.569884085
62.4367256165,252.184073297
62.66796875,248.947383265
