RMSD,score
38.8771018982,200.060556356
32.7790565491,181.172569314
32.6539039612,179.991798084
32.7923049927,180.24532945
32.7799339294,180.173071841
32.6832504272,181.170207784
32.731967926,180.17755425
32.7727737427,180.141351893
32.5129928589,177.600531006
32.3809432983,176.089335562
32.2951774597,174.157970231
32.1471176147,173.248561993
32.0695457458,172.5086114
31.9702320099,171.515291527
32.031036377,172.624813194
31.9431915283,172.112315706
32.0606575012,172.93841939
31.9502773285,171.338016761
31.9759998322,172.936667193
31.9162464142,171.931952574
31.7709217072,170.491955128
31.7541713715,170.40674786
31.8721637726,170.751823417
31.8531341553,171.460526736
31.8784294128,170.338584518
31.9405117035,171.885257354
31.9608459473,169.746409397
31.9427623749,169.914356349
31.9501190186,169.601323208
31.944934845,169.921075296
31.9466552734,170.162664482
32.0104598999,169.75794398
32.0034637451,171.992948222
32.0088615417,171.419645763
31.9510383606,171.257148538
31.8909873962,170.340229197
31.8771724701,170.614523385
31.8723316193,172.662373516
31.8420696259,172.626578889
31.9124736786,171.289157174
31.8439216614,171.032654463
31.849603653,170.152919426
31.9577312469,170.882355529
32.0062332153,169.271404414
32.0070228577,170.011403695
31.9480381012,170.536590069
31.855512619,169.126784748
31.8030319214,168.77336487
31.8058319092,169.741447676
31.8388710022,170.968603026
32.0028839111,170.687285055
31.9220848083,171.751903647
31.9540119171,171.033238077
31.9638080597,170.979262814
31.9564914703,169.266767875
32.0155792236,169.91208637
31.9163703918,169.724356859
31.8117103577,169.34622271
31.7786502838,168.497035019
31.748588562,169.346061265
31.6630096436,170.860843946
31.6612949371,169.006000728
31.7123775482,171.185062019
31.7379989624,169.813636463
31.6777610779,168.554959546
31.7597370148,168.967121178
31.8174743652,168.053184375
31.8327693939,168.738460413
31.7864513397,168.739663239
31.7761936188,169.21280544
31.7676010132,168.293633839
31.846988678,168.899445687
31.8072128296,168.228714023
31.8438282013,168.753871793
31.9148445129,168.328514315
31.7898979187,168.831553714
31.7439498901,169.626058604
31.8345413208,169.660444035
31.856420517,168.818868182
31.8321895599,169.327101928
31.728679657,169.572582656
31.8397960663,169.071586078
31.7911930084,169.178013264
31.7562122345,170.354770473
31.7537727356,169.349919055
31.799079895,169.517430991
31.761510849,172.037418576
31.7688179016,169.666625153
31.8417301178,171.612889701
31.6566925049,171.531531391
31.6737594604,171.083998494
31.6684246063,170.967423553
31.4921894073,171.004872277
31.4639835358,169.896820046
31.5105876923,169.845862799
31.4927139282,169.262074027
31.5274982452,170.139223582
31.5235004425,169.133808552
31.4875717163,169.432852797
31.5553455353,168.941355274
31.5371856689,168.729060342
31.5873699188,170.4430198
31.6613407135,168.908287727
31.642490387,168.254059426
31.6517333984,169.060930571
31.6345233917,169.057714498
31.5796642303,169.30233742
31.5896720886,169.028047066
31.5744094849,168.377670507
31.5549964905,169.296959864
31.5689792633,168.682708301
31.5531635284,168.62969639
31.603012085,168.855860495
31.4875488281,168.014817969
31.4985103607,166.891271117
31.5102806091,166.655735377
31.5283927917,166.908037594
31.5099945068,166.007042042
31.5189533234,166.399468704
31.5263614655,165.883465206
31.4933109283,167.445894645
31.4933586121,166.273164125
31.5240135193,167.942312723
31.5373802185,166.260410403
31.5171546936,166.10711136
31.5190734863,166.763474798
31.5542583466,168.189750185
31.51537323,167.585807168
31.5762081146,166.882061943
31.5517864227,167.108050239
31.517490387,166.232488977
31.5407733917,169.39015865
31.5082740784,166.791566763
31.5063915253,169.230202216
31.497636795,167.413100789
31.5086040497,167.832745172
31.47930336,167.049377987
31.4961891174,167.454348749
31.4485607147,166.945575091
31.5048599243,166.945277638
31.5207195282,167.083399905
31.5125236511,167.352816971
31.4619293213,166.604641993
31.4867954254,166.738047334
31.4464588165,167.525870489
31.4362564087,167.304312478
31.5263538361,168.910957972
31.4921360016,167.219495696
31.4626102448,167.489796358
31.4110202789,168.037542679
31.5028972626,167.920656832
31.487241745,167.984464391
31.3839645386,166.914936953
31.3989620209,167.293991605
31.4194507599,167.818062585
31.3756580353,166.88728112
31.3572616577,166.884404971
31.3967285156,167.205939349
31.3704147339,167.751939744
31.3909416199,167.480299534
31.4225349426,167.081421312
31.3641109467,167.227394977
31.3715763092,167.094571585
31.3907012939,167.318991479
31.3842086792,166.752007981
31.3952388763,167.173555773
31.4039783478,167.181691193
31.4387760162,166.550767944
31.4173984528,166.871935877
31.5231494904,164.583548875
