RMSD,score
12.7610225677,129.696977685
12.2987499237,115.880155684
12.3889074326,113.230761392
12.4461040497,114.054878539
12.3000860214,113.222355407
12.1941385269,114.651547004
12.3044681549,111.696284033
12.2515363693,113.465147892
12.2636451721,112.751902286
12.1722393036,114.205589511
12.2969236374,110.972129371
12.2736883163,112.970663977
12.2951288223,110.935128484
11.9539394379,113.016538199
12.0851459503,108.736162304
12.0028162003,111.368647158
11.7590465546,112.428105166
11.8282909393,109.576105236
12.2264080048,106.483864904
12.1940889359,105.563049972
12.1931009293,107.563932776
12.2130374908,107.284246127
12.2101049423,106.990189089
12.1366052628,106.168600025
12.0693435669,103.499605068
11.9260835648,103.255520381
11.976439476,103.07959372
11.99949646,103.393226488
11.9860429764,103.424224369
11.8335704803,105.199173034
11.8461637497,101.48600038
11.8347463608,102.563344005
11.6986408234,102.816386049
11.7102451324,101.442926847
11.6121368408,101.582159952
11.8068571091,102.258255873
11.755115509,101.749645145
11.7494077682,100.986087324
11.6623868942,101.551375586
11.5639848709,100.242946731
11.7058582306,101.543159137
11.4910078049,99.2478328303
11.5698547363,100.294026985
11.5531997681,100.782495513
11.596616745,100.219320029
11.6252593994,100.383003889
11.5272598267,102.054311483
11.5386362076,99.5276577864
11.6116170883,100.184843264
11.5529584885,99.7030991929
11.5071744919,100.337534748
11.5391979218,100.587153386
11.5200653076,100.207336733
11.4659719467,98.78116741
11.424082756,98.7737478933
11.4160375595,98.6651541808
11.4404325485,99.0276324779
11.4657468796,99.3423898615
11.535656929,100.955868645
11.4230356216,99.7185183194
11.4617109299,99.6146209253
11.5078821182,100.476946688
11.5263595581,98.6450579806
11.5207195282,99.9739507313
11.4831085205,99.1961360008
11.4086818695,98.8985575266
11.3879556656,99.8695066575
11.3754634857,102.154579211
11.4397335052,99.1546312898
11.4848461151,99.8102050633
11.459446907,100.667111042
11.5223760605,100.036605189
11.3814430237,99.9157534915
11.5177106857,99.9938379007
11.2717485428,100.936430938
11.40097332,100.230582346
11.4124355316,102.235732523
11.3732280731,101.017273041
11.3671789169,98.8433524006
11.4643669128,99.718293124
11.5160083771,100.253992157
11.5547838211,100.35888072
11.4558649063,100.730648557
11.5311431885,101.100120473
11.4841690063,101.925688159
11.4301357269,101.444450441
11.4943008423,99.5123935422
11.4232215881,100.756737209
11.43658638,99.9171835724
11.4422273636,99.5071324879
11.4108514786,101.110600468
11.5154895782,99.8204310434
11.3481941223,102.035525841
11.3138198853,100.439897512
11.3395614624,100.284115568
11.4073629379,99.9178621923
11.4228620529,103.245572529
11.7069883347,101.557516008
11.561463356,101.157218412
11.5118875504,101.792608311
11.6232538223,101.560917001
11.590965271,102.528770151
11.5052576065,101.538388185
11.3940105438,101.328901095
11.4392967224,100.361184455
11.2249279022,100.576306977
11.3586072922,99.5648484266
11.3536739349,101.467992138
11.4464092255,101.110559125
11.4404001236,100.94926581
11.4599876404,100.052286861
11.4808006287,100.664171724
11.4742841721,100.843768447
11.5234451294,100.659720314
11.4273662567,99.8445350268
11.5855550766,101.28738032
11.5542669296,100.884131358
11.4086265564,100.402998248
11.3694229126,101.992573927
11.3987436295,100.735070959
11.4931259155,100.293344341
11.4569377899,99.9741410873
11.4195175171,100.239916541
11.4500131607,101.401997852
11.4050703049,102.521952889
11.4389209747,100.320850017
11.5589704514,102.090584723
11.4451322556,99.247078828
11.6249256134,101.538546444
11.4626951218,100.064312112
11.458106041,99.441904524
11.482003212,100.406855541
11.4340925217,99.8362643455
11.4463796616,100.478846622
11.3848571777,99.288456982
11.461523056,99.3850084404
11.4790620804,100.273807123
11.5202722549,102.569323863
11.5594491959,100.123498054
11.4850206375,101.075273304
11.5656938553,100.167017123
11.6059608459,100.872861221
11.5278701782,99.8037958604
11.6049232483,99.8014309639
11.5916795731,99.3782853777
11.5921144485,99.8867090088
11.5456886292,101.008056388
11.5722846985,100.682706826
11.4933137894,99.5392654135
11.4053936005,100.999320247
11.6468219757,100.799015537
11.5623350143,100.389583405
11.4513483047,100.759390784
11.5137701035,100.836530631
11.4839143753,100.339737106
11.488448143,100.62160331
11.5056467056,99.7650990526
11.4474525452,100.335377669
11.4405460358,100.584459051
11.4395561218,100.189670709
11.3341112137,101.384602081
11.3458986282,101.312912501
11.6280021667,99.7211717291
11.4852104187,101.739191667
11.6578264236,100.389488296
11.4966239929,100.817917669
11.4929590225,100.122677502
11.7262067795,101.668006804
11.7445001602,102.006634691
11.4224939346,98.2275038304
